INFO   | jvm 1    | 2017/08/21 22:17:47 | 2017-08-21 22:17:47.126:INFO:oejsh.ContextHandler:stopped o.e.j.w.WebAppContext{/,file:/Users/michaelmurray/Documents/AlmostRealism/latest/flowtree/apache-archiva-2.2.3/apps/archiva/},/Users/michaelmurray/Documents/AlmostRealism/latest/flowtree/apache-archiva-2.2.3/apps/archiva
STATUS | wrapper  | 2017/08/21 22:17:47 | <-- Wrapper Stopped
STATUS | wrapper  | 2017/08/21 22:18:07 | --> Wrapper Started as Console
STATUS | wrapper  | 2017/08/21 22:18:07 | Launching a JVM...
INFO   | jvm 1    | 2017/08/21 22:18:08 | Java HotSpot(TM) 64-Bit Server VM warning: ignoring option MaxPermSize=128m; support was removed in 8.0
INFO   | jvm 1    | 2017/08/21 22:18:08 | Wrapper (Version 3.2.3) http://wrapper.tanukisoftware.org
INFO   | jvm 1    | 2017/08/21 22:18:08 |   Copyright 1999-2006 Tanuki Software, Inc.  All Rights Reserved.
INFO   | jvm 1    | 2017/08/21 22:18:08 | 
INFO   | jvm 1    | 2017/08/21 22:18:08 | 2017-08-21 22:18:08.297:WARN:oejd.ContextDeployer:ContextDeployer is deprecated. Use ContextProvider
INFO   | jvm 1    | 2017/08/21 22:18:08 | 2017-08-21 22:18:08.299:WARN:oejd.WebAppDeployer:WebAppDeployer is deprecated. Use WebAppProvider
INFO   | jvm 1    | 2017/08/21 22:18:08 | 2017-08-21 22:18:08.338:INFO:oejs.Server:jetty-8.1.14.v20131031
INFO   | jvm 1    | 2017/08/21 22:18:08 | 2017-08-21 22:18:08.347:INFO:oejs.NCSARequestLog:Opened /Users/michaelmurray/Documents/AlmostRealism/latest/flowtree/apache-archiva-2.2.3/logs/request-20170822.log
INFO   | jvm 1    | 2017/08/21 22:18:08 | 2017-08-21 22:18:08.365:INFO:oejd.ContextDeployer:Deploy /Users/michaelmurray/Documents/AlmostRealism/latest/flowtree/apache-archiva-2.2.3/contexts/archiva.xml -> o.e.j.w.WebAppContext{/,null},/Users/michaelmurray/Documents/AlmostRealism/latest/flowtree/apache-archiva-2.2.3/apps/archiva
INFO   | jvm 1    | 2017/08/21 22:18:09 | 2017-08-21 22:18:09.883:INFO:oejpw.PlusConfiguration:No Transaction manager found - if your webapp requires one, please configure one.
INFO   | jvm 1    | 2017/08/21 22:18:09 | 2017-08-21 22:18:09.949:INFO:oejw.StandardDescriptorProcessor:NO JSP Support for /, did not find org.apache.jasper.servlet.JspServlet
INFO   | jvm 1    | 2017/08/21 22:18:15 | 2017-08-21 22:18:15.517:INFO:/:Initializing Spring root WebApplicationContext
INFO   | jvm 1    | 2017/08/21 22:19:24 | Aug 21, 2017 10:19:24 PM org.apache.tomcat.jdbc.pool.ConnectionPool init
INFO   | jvm 1    | 2017/08/21 22:19:24 | WARNING: maxIdle is larger than maxActive, setting maxIdle to: 20
INFO   | jvm 1    | 2017/08/21 22:19:49 | 2017-08-21 22:19:49.376:INFO:oejs.AbstractConnector:Started SelectChannelConnector@0.0.0.0:8080
STATUS | wrapper  | 2017/08/21 22:33:57 | INT trapped.  Shutting down.
INFO   | jvm 1    | 2017/08/21 22:33:58 | 2017-08-21 22:33:58.145:INFO:oejs.Server:Graceful shutdown SelectChannelConnector@0.0.0.0:8080
INFO   | jvm 1    | 2017/08/21 22:33:58 | 2017-08-21 22:33:58.147:INFO:oejs.Server:Graceful shutdown o.e.j.w.WebAppContext{/,file:/Users/michaelmurray/Documents/AlmostRealism/latest/flowtree/apache-archiva-2.2.3/apps/archiva/},/Users/michaelmurray/Documents/AlmostRealism/latest/flowtree/apache-archiva-2.2.3/apps/archiva
INFO   | jvm 1    | 2017/08/21 22:33:59 | 2017-08-21 22:33:59.236:INFO:/:Closing Spring root WebApplicationContext
INFO   | jvm 1    | 2017/08/21 22:34:04 | 2017-08-21 22:34:04.269:INFO:oejsh.ContextHandler:stopped o.e.j.w.WebAppContext{/,file:/Users/michaelmurray/Documents/AlmostRealism/latest/flowtree/apache-archiva-2.2.3/apps/archiva/},/Users/michaelmurray/Documents/AlmostRealism/latest/flowtree/apache-archiva-2.2.3/apps/archiva
STATUS | wrapper  | 2017/08/21 22:34:04 | <-- Wrapper Stopped
